master_chemprop_input,IV
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4226|0.0781|0.2904|0.2088|,0.175
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4222|0.0780|0.2971|0.2026|,0.19699999999999998
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4226|0.0781|0.2889|0.2103|,0.132
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4227|0.0775|0.2886|0.2111|,0.154
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4202|0.0800|0.2941|0.2056|,0.156
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4224|0.0781|0.2938|0.2057|,0.177
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4216|0.0791|0.2804|0.2188|,0.132
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4231|0.0776|0.2824|0.2168|,0.14800000000000002
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4209|0.0796|0.2803|0.2192|,0.161
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4229|0.0776|0.2818|0.2177|,0.177
