,Resin#,Reactor,Reaction Solvent,AN,OHN,OHN (primary),OHN (secondary),IV,IV - Intrinsic,Tg,Tg∞ (°C),Cyclic Oligomer (%),Mn (PS),Mw (PS),Mz (PS),PDI (PS),Mn (abs),Mw (abs),Mz (abs),PDI (abs),%SA,%ADP,%DDDA,%AZL,"%1,4-CHDA","%1,4-CHDA (95% trans)","%1,3-CHDA","%1,2-CHDA",%HHPA,%PA,%IPA,%TPA,%TMA,%Total Acid,%EG,%DEG,"%1,3-PROP","%1,4-BUT",%HDO,%NPG,"%1,4-CHDM","%1,3-CHDM",%TMCD,%TMP,%MPD,%TCDDM,%Total Glycol,End,uncertainty,abs_error
171,196,Rig,Neat,13.09,24.47792397,,,0.191,0.193,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,56.1,,43.8,,,,99.9,,0.6035996079444885,0.016642123460769653
150,170,Rig,Neat,11.02,29.18827165,,,0.184,0.187,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100.0,,,,,,,56.1,,43.9,,,,99.9,,0.6174932718276978,0.01640699803829193
229,Resin 8a,Rig,Neat,14.6,34.21,,,0.17,0.172,57.71,,,4014.0,11470.0,22130.0,2.8569999999999998,2373.0,5113.0,8497.0,2.155,,,,,,,,,,,100.0,,,100.0,,,,,,,28.4,,19.7,3.6,48.3,,100.0,,0.6825398802757263,0.013467758893966675
177,202,Rig,Neat,6.67,22.93757929,,,0.213,0.21600000000000003,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,55.4,,44.5,,,,99.9,,0.9285910725593567,0.00910179316997528
83,87,Kettle,A150ND,7.72,23.0,6,17,0.218,0.222,30.5,,,7142.0,16301.0,29971.0,2.282,,,,,,29.1,,,,,,,,,70.9,,,100.0,,,,,,,,,45.3,,54.7,,100.0,,0.962657630443573,0.025765076279640198
182,223,Rig,Neat,5.46,21.51,,,0.20199999999999999,0.204,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,,54.5,45.3,,,,99.9,,1.0634679794311523,0.01036234200000763
168,192,Rig,Neat,5.56,21.15803443,,,0.22399999999999998,0.228,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,57.1,,42.7,,,,99.8,,1.0733028650283813,0.005676686763763428
186,227,Rig,Neat,5.26,17.6,,,0.217,0.22,,,,,,,,,,,,,,,,,,,,,,84.3,15.7,,100.0,,,,,,,,55.0,44.9,,,,99.9,,1.1907693147659302,0.015366807579994202
175,200,Rig,Neat,4.55,19.83959448,,,0.23399999999999999,0.237,,,,,,,,,,,,,,,,,,,,,,84.7,15.3,,100.0,,,,,,,56.2,,43.7,,,,99.9,,1.2455388307571411,0.000985175371170044
205,Resin 2a,Rig,Neat,11.8,14.8,,,0.264,0.26899999999999996,53.78,,,6941.0,20766.0,38505.0,2.992,3843.0,8514.0,13714.0,2.215,,,,,,,,,,,100.0,,,100.0,,,,,,,39.8,,,1.9,58.3,,100.0,,1.3217955827713013,0.0011947154998779297
