Resin#,Reactor,Reaction Solvent,AN,OHN,OHN (primary),OHN (secondary),IV,IV - Intrinsic,Tg,Tg∞ (°C),Cyclic Oligomer (%),Mn (PS),Mw (PS),Mz (PS),PDI (PS),Mn (abs),Mw (abs),Mz (abs),PDI (abs),%SA,%ADP,%DDDA,%AZL,"%1,4-CHDA","%1,4-CHDA (95% trans)","%1,3-CHDA","%1,2-CHDA",%HHPA,%PA,%IPA,%TPA,%TMA,%Total Acid,%EG,%DEG,"%1,3-PROP","%1,4-BUT",%HDO,%NPG,"%1,4-CHDM","%1,3-CHDM",%TMCD,%TMP,%MPD,%TCDDM,%Total Glycol,End
138,Rig,Neat,23.79,32.35845164,,,0.132,0.133,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100,,,,,,,,57.7,42,,,,99.9,
139,Rig,Neat,22.89,23.52659166,,,0.154,0.155,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100,,,,,,,,57.7,42.2,,,,99.9,
140,Rig,Neat,20.65,18.54232931,,,0.156,0.158,,,,,,,,,,,,,,,,,,,,,,84,16,,100,,,,,,,,58.8,41.1,,,,99.9,
141,Rig,Neat,19.54,19.30559602,,,0.177,0.179,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100,,,,,,,,58.7,41.1,,,,99.7,
142,Rig,Neat,25.96,31.86464933,,,0.132,0.133,,,,,,,,,,,,,,,,,,,,,,84.2,15.8,,100,,,,,,,,56,43.7,,,,99.7,
143,Rig,Neat,18.9,29.53147537,,,0.148,0.148,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100,,,,,,,,56.4,43.3,,,,99.7,
144,Rig,Neat,17.15,25.40442198,,,0.161,0.163,,,,,,,,,,,,,,,,,,,,,,84.1,15.9,,100,,,,,,,,56,43.8,,,,99.7,
145,Rig,Neat,16.04,21.56620657,,,0.177,0.179,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100,,,,,,,,56.3,43.5,,,,99.6,
146,Rig,Neat,21.67,35.12050964,,,0.136,0.137,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100,,,,,,,,54.1,45.5,,,,99.9,
147,Rig,Neat,17.35,34.84174679,,,0.144,0.145,,,,,,,,,,,,,,,,,,,,,,84.3,15.7,,100,,,,,,,,55.2,44.6,,,,99.9,
148,Rig,Neat,14.54,35.54639003,,,0.159,0.16,,,,,,,,,,,,,,,,,,,,,,84.3,15.7,,100,,,,,,,,55.5,44.4,,,,99.9,
149,Rig,Neat,13.37,30.94362947,,,0.166,0.168,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100,,,,,,,,55.6,44.2,,,,99.7,
150,Rig,Neat,27.37,25.45544883,,,0.155,0.157,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,57.9,,41.8,,,,99.9,
